name,iata_code,iso_region,type
Miramichi Airport,YCH,CA-NB,medium_airport
Chatham Kent Airport,XCM,CA-ON,small_airport
Charlo Airport,YCL,CA-NB,medium_airport
Cochrane Airport,YCN,CA-ON,medium_airport
Kugluktuk Airport,YCO,CA-NU,medium_airport
Chetwynd Airport,YCQ,CA-BC,medium_airport
Cross Lake (Charlie Sinclair Memorial) Airport,YCR,CA-MB,medium_airport
Chesterfield Inlet Airport,YCS,CA-NU,medium_airport
Coronation Airport,YCT,CA-AB,small_airport
Cartierville Airport,YCV,CA-QC,closed
Chilliwack Airport,YCW,CA-BC,small_airport
Clyde River Airport,YCY,CA-NU,medium_airport
Fairmont Hot Springs Airport,YCZ,CA-BC,small_airport
Dawson City Airport,YDA,CA-YT,medium_airport
Burwash Airport,YDB,CA-YT,medium_airport
Deer Lake Airport,YDF,CA-NL,medium_airport
Dease Lake Airport,YDL,CA-BC,small_airport
Ross River Airport,XRR,CA-YT,medium_airport
Dauphin Barker Airport,YDN,CA-MB,medium_airport
Dolbeau St Felicien Airport,YDO,CA-QC,medium_airport
Nain Airport,YDP,CA-NL,medium_airport
Dawson Creek Airport,YDQ,CA-BC,medium_airport
Edmonton International Airport,YEG,CA-AB,large_airport
Arviat Airport,YEK,CA-NU,medium_airport
Elliot Lake Municipal Airport,YEL,CA-ON,medium_airport
Manitoulin East Municipal Airport,YEM,CA-ON,medium_airport
Estevan Airport,YEN,CA-SK,medium_airport
Fort Severn Airport,YER,CA-ON,medium_airport
Edson Airport,YET,CA-AB,medium_airport
Eureka Airport,YEU,CA-NU,small_airport
Inuvik Mike Zubko Airport,YEV,CA-NT,medium_airport
Amos/Magny Airport,YEY,CA-QC,medium_airport
Fort Albany Airport,YFA,CA-ON,medium_airport
Iqaluit Airport,YFB,CA-NU,medium_airport
Fredericton Airport,YFC,CA-NB,medium_airport
Forestville Airport,YFE,CA-QC,medium_airport
Fort Hope Airport,YFH,CA-ON,medium_airport
La Macaza / Mont-Tremblant International Inc Airport,YTM,CA-QC,medium_airport
Flin Flon Airport,YFO,CA-MB,medium_airport
Fort Resolution Airport,YFR,CA-NT,medium_airport
Fort Simpson Airport,YFS,CA-NT,medium_airport
Makkovik Airport,YMN,CA-NL,medium_airport
Texada Gillies Bay Airport,YGB,CA-BC,medium_airport
Fort Good Hope Airport,YGH,CA-NT,medium_airport
Kingston Norman Rogers Airport,YGK,CA-ON,medium_airport
La Grande RiviÃ¨re Airport,YGL,CA-QC,medium_airport
Gimli Industrial Park Airport,YGM,CA-MB,medium_airport
Gods Lake Narrows Airport,YGO,CA-MB,medium_airport
GaspÃ© (Michel-Pouliot) Airport,YGP,CA-QC,medium_airport
Geraldton Greenstone Regional Airport,YGQ,CA-ON,medium_airport
Ãles-de-la-Madeleine Airport,YGR,CA-QC,medium_airport
Igloolik Airport,YGT,CA-NU,medium_airport
Havre St Pierre Airport,YGV,CA-QC,medium_airport
Kuujjuarapik Airport,YGW,CA-QC,medium_airport
Gillam Airport,YGX,CA-MB,medium_airport
Grise Fiord Airport,YGZ,CA-NU,medium_airport
Quaqtaq Airport,YQC,CA-QC,medium_airport
Hudson Bay Airport,YHB,CA-SK,small_airport
Vancouver Harbour Water Aerodrome,CXH,CA-BC,seaplane_base
Dryden Regional Airport,YHD,CA-ON,medium_airport
Hope Airport,YHE,CA-BC,medium_airport
Hearst RenÃ© Fontaine Municipal Airport,YHF,CA-ON,medium_airport
Nemiscau Airport,YNS,CA-QC,medium_airport
Ulukhaktok Holman Airport,YHI,CA-NT,medium_airport
Gjoa Haven Airport,YHK,CA-NU,medium_airport
John C. Munro Hamilton International Airport,YHM,CA-ON,medium_airport
