name,iata_code,iso_region,type
Thomas C Russell Field,ALX,US-AL,small_airport
Rick Husband Amarillo International Airport,AMA,US-TX,large_airport
Gratiot Community Airport,AMN,US-MI,small_airport
Ames Municipal Airport,AMW,US-IA,small_airport
Anniston Regional Airport,ANB,US-AL,medium_airport
Anderson Regional Airport,AND,US-SC,medium_airport
Salida Airport Harriett Alexander Field,SLT,US-CO,small_airport
Lee Airport,ANP,US-MD,small_airport
Tri State Steuben County Airport,ANQ,US-IN,small_airport
Ainsworth Regional Airport,ANW,US-NE,small_airport
Anthony Municipal Airport,ANY,US-KS,small_airport
Lima Allen County Airport,AOH,US-OH,small_airport
Altoona Blair County Airport,AOO,US-PA,medium_airport
Centennial Airport,APA,US-CO,medium_airport
Napa County Airport,APC,US-CA,small_airport
Naples Municipal Airport,APF,US-FL,medium_airport
Phillips Army Air Field,APG,US-MD,medium_airport
A P Hill AAF (Fort A P Hill) Airport,APH,US-VA,small_airport
Alpena County Regional Airport,APN,US-MI,medium_airport
Marion County Brown Field,APT,US-TN,small_airport
Apple Valley Airport,APV,US-CA,small_airport
Kamulai Airport,KAQ,PG-CPM,small_airport
Acadiana Regional Airport,ARA,US-LA,medium_airport
Ann Arbor Municipal Airport,ARB,US-MI,small_airport
Walnut Ridge Regional Airport,ARG,US-AR,small_airport
Wharton Regional Airport,WHT,US-TX,small_airport
Aurora Municipal Airport,AUZ,US-IL,small_airport
Watertown International Airport,ART,US-NY,medium_airport
Lakeland-Noble F. Lee Memorial field,ARV,US-WI,small_airport
Beaufort County Airport,BFT,US-SC,small_airport
Aspen-Pitkin Co/Sardy Field,ASE,US-CO,medium_airport
Springdale Municipal Airport,SPZ,US-AR,small_airport
Boire Field,ASH,US-NH,small_airport
Harrison County Airport,ASL,US-TX,small_airport
Talladega Municipal Airport,ASN,US-AL,small_airport
Astoria Regional Airport,AST,US-OR,medium_airport
John F Kennedy Memorial Airport,ASX,US-WI,small_airport
Ashley Municipal Airport,ASY,US-ND,small_airport
Hartsfield Jackson Atlanta International Airport,ATL,US-GA,large_airport
Artesia Municipal Airport,ATS,US-NM,small_airport
Appleton International Airport,ATW,US-WI,small_airport
Watertown Regional Airport,ATY,US-SD,medium_airport
Augusta State Airport,AUG,US-ME,medium_airport
Austin Municipal Airport,AUM,US-MN,small_airport
Auburn Municipal Airport,AUN,US-CA,small_airport
Auburn University Regional Airport,AUO,US-AL,small_airport
Austin Bergstrom International Airport,AUS,US-TX,large_airport
Wausau Downtown Airport,AUW,US-WI,medium_airport
Asheville Regional Airport,AVL,US-NC,large_airport
Avon Park Executive Airport,AVO,US-FL,small_airport
Wilkes Barre Scranton International Airport,AVP,US-PA,medium_airport
Marana Regional Airport,AVW,US-AZ,small_airport
Catalina Airport,AVX,US-CA,small_airport
West Memphis Municipal Airport,AWM,US-AR,small_airport
Algona Municipal Airport,AXG,US-IA,small_airport
Chandler Field,AXN,US-MN,medium_airport
Altus Quartz Mountain Regional Airport,AXS,US-OK,small_airport
Neil Armstrong Airport,AXV,US-OH,small_airport
Angel Fire Airport,AXX,US-NM,small_airport
Ft Devens Moore Army Air Field,AYE,US-MA,closed
Waycross Ware County Airport,AYS,US-GA,small_airport
Arnold Air Force Base,TUH,US-TN,small_airport
Kalamazoo Battle Creek International Airport,AZO,US-MI,medium_airport
Beale Air Force Base,BAB,US-CA,large_airport
Barksdale Air Force Base,BAD,US-LA,large_airport
Westfield-Barnes Regional Airport,BAF,US-MA,medium_airport
Columbus Municipal Airport,CLU,US-IN,medium_airport
Battle Mountain Airport,BAM,US-NV,small_airport
Benson Municipal Airport,BBB,US-MN,small_airport
Curtis Field,BBD,US-TX,medium_airport
Marlboro County Jetport H.E. Avent Field,BTN,US-SC,small_airport
Broken Bow Municipal Airport,BBW,US-NE,small_airport
Virginia Tech Montgomery Executive Airport,BCB,US-VA,small_airport
Bryce Canyon Airport,BCE,US-UT,medium_airport
Boca Raton Airport,BCT,US-FL,small_airport
Baudette International Airport,BDE,US-MN,medium_airport
Blanding Municipal Airport,BDG,US-UT,small_airport
Bradley International Airport,BDL,US-CT,large_airport
Igor I Sikorsky Memorial Airport,BDR,US-CT,medium_airport
Boulder Municipal Airport,WBU,US-CO,small_airport
Bell Island Hot Springs Seaplane Base,KBE,US-AK,seaplane_base
Beech Factory Airport,BEC,US-KS,small_airport
Laurence G Hanscom Field,BED,US-MA,medium_airport
Southwest Michigan Regional Airport,BEH,US-MI,small_airport
Bradford Regional Airport,BFD,US-PA,medium_airport
Western Neb. Rgnl/William B. Heilig Airport,BFF,US-NE,medium_airport
Boeing Field King County International Airport,BFI,US-WA,large_airport
Meadows Field,BFL,US-CA,medium_airport
Mobile Downtown Airport,BFM,US-AL,medium_airport
Virgil I Grissom Municipal Airport,BFR,US-IN,small_airport
Hutchinson County Airport,BGD,US-TX,small_airport
Decatur County Industrial Air Park,BGE,US-GA,small_airport
Greater Binghamton/Edwin A Link field,BGM,US-NY,medium_airport
Bangor International Airport,BGR,US-ME,large_airport
Hancock County-Bar Harbor Airport,BHB,US-ME,medium_airport
Birmingham-Shuttlesworth International Airport,BHM,US-AL,large_airport
Block Island State Airport,BID,US-RI,small_airport
Beatrice Municipal Airport,BIE,US-NE,small_airport
Biggs Army Air Field (Fort Bliss),BIF,US-TX,medium_airport
Eastern Sierra Regional Airport,BIH,US-CA,medium_airport
Billings Logan International Airport,BIL,US-MT,large_airport
Bismarck Municipal Airport,BIS,US-ND,medium_airport
Keesler Air Force Base,BIX,US-MS,medium_airport
Rocky Mountain Metropolitan Airport,BJC,US-CO,medium_airport
Bemidji Regional Airport,BJI,US-MN,medium_airport
Wayne County Airport,BJJ,US-OH,small_airport
Stephens County Airport,BKD,US-TX,small_airport
Baker City Municipal Airport,BKE,US-OR,medium_airport
Buckley Air Force Base,BFK,US-CO,medium_airport
Burke Lakefront Airport,BKL,US-OH,medium_airport
Allen C Perkinson Blackstone Army Air Field,BKT,US-VA,small_airport
Raleigh County Memorial Airport,BKW,US-WV,medium_airport
Brookings Regional Airport,BKX,US-SD,small_airport
Mercer County Airport,BLF,US-WV,medium_airport
Blythe Airport,BLH,US-CA,medium_airport
Bellingham International Airport,BLI,US-WA,medium_airport
Monmouth Executive Airport,BLM,US-NJ,small_airport
Blue Canyon Nyack Airport,BLU,US-CA,small_airport
Scott AFB/Midamerica Airport,BLV,US-IL,large_airport
Kabwum,KBM,PG-MPL,small_airport
Brigham City Regional Airport,BMC,US-UT,small_airport
Monroe County Airport,BMG,US-IN,medium_airport
Central Illinois Regional Airport at Bloomington-Normal,BMI,US-IL,large_airport
Berlin Regional Airport,BML,US-NH,small_airport
Beaumont Municipal Airport,BMT,US-TX,small_airport
Nashville International Airport,BNA,US-TN,large_airport
Banning Municipal Airport,BNG,US-CA,small_airport
Barnwell Regional Airport,BNL,US-SC,small_airport
Burns Municipal Airport,BNO,US-OR,medium_airport
Boone Municipal Airport,BNW,US-IA,small_airport
Boise Air Terminal/Gowen Field,BOI,US-ID,large_airport
General Edward Lawrence Logan International Airport,BOS,US-MA,large_airport
Bartow Executive Airport,BOW,US-FL,small_airport
Big Spring Mc Mahon-Wrinkle Airport,HCA,US-TX,small_airport
Miley Memorial Field,BPI,US-WY,medium_airport
Ozark Regional Airport,WMH,US-AR,medium_airport
Southeast Texas Regional Airport,BPT,US-TX,medium_airport
Brunswick Golden Isles Airport,BQK,US-GA,medium_airport
Brainerd Lakes Regional Airport,BRD,US-MN,medium_airport
Southeast Iowa Regional Airport,BRL,US-IA,medium_airport
Brownsville South Padre Island International Airport,BRO,US-TX,medium_airport
Samuels Field,BRY,US-KY,small_airport
Skypark Airport,BTF,US-UT,small_airport
W K Kellogg Airport,BTL,US-MI,medium_airport
Bert Mooney Airport,BTM,US-MT,medium_airport
Britton Municipal Airport,TTO,US-SD,small_airport
Pittsburgh/Butler Regional Airport,BTP,US-PA,small_airport
Baton Rouge Metropolitan Airport,BTR,US-LA,medium_airport
Burlington International Airport,BTV,US-VT,medium_airport
Beatty Airport,BTY,US-NV,small_airport
Cram Field,BUB,US-NE,small_airport
Buffalo Niagara International Airport,BUF,US-NY,large_airport
Butler Memorial Airport,BUM,US-MO,small_airport
Bob Hope Airport,BUR,US-CA,medium_airport
Beaver County Airport,BFP,US-PA,medium_airport
Bartlesville Municipal Airport,BVO,US-OK,small_airport
Skagit Regional Airport,MVW,US-WA,small_airport
Batesville Regional Airport,BVX,US-AR,small_airport
Beverly Municipal Airport,BVY,US-MA,medium_airport
Brawley Municipal Airport,BWC,US-CA,small_airport
Brownwood Regional Airport,BWD,US-TX,small_airport
Bowling Green Warren County Regional Airport,BWG,US-KY,medium_airport
Baltimore/Washington International Thurgood Marshall Airport,BWI,US-MD,large_airport
Harry Stern Airport,WAH,US-ND,small_airport
Bowman Regional Airport,BWM,US-ND,small_airport
George R Carr Memorial Air Field,BXA,US-LA,small_airport
Buckeye Municipal Airport,BXK,US-AZ,small_airport
Johnson County Airport,BYG,US-WY,small_airport
Arkansas International Airport,BYH,US-AR,medium_airport
Burley Municipal Airport,BYI,US-ID,medium_airport
Bicycle Lake Army Air Field,BYS,US-CA,medium_airport
Bay City Municipal Airport,BBC,US-TX,small_airport
Gallatin Field,BZN,US-MT,medium_airport
Grand Geneva Resort Airport,XES,US-WI,small_airport
Plymouth Municipal Airport,PLY,US-IN,small_airport
Wexford County Airport,CAD,US-MI,small_airport
Columbia Metropolitan Airport,CAE,US-SC,large_airport
Craig Moffat Airport,CIG,US-CO,small_airport
Akron Canton Regional Airport,CAK,US-OH,medium_airport
Clayton Municipal Airpark,CAO,US-NM,small_airport
Caribou Municipal Airport,CAR,US-ME,medium_airport
Greater Cumberland Regional Airport,CBE,US-MD,small_airport
Council Bluffs Municipal Airport,CBF,US-IA,small_airport
Shalz Field,CBK,US-KS,small_airport
Columbus Air Force Base,CBM,US-MS,large_airport
Coffman Cove Seaplane Base,KCC,US-AK,seaplane_base
Cable Airport,CCB,US-CA,small_airport
Buchanan Field,CCR,US-CA,small_airport
Northeast Iowa Regional Airport,CCY,US-IA,medium_airport
Caledonia County Airport,LLX,US-VT,small_airport
Cedar City Regional Airport,CDC,US-UT,medium_airport
Harrell Field,CDH,US-AR,small_airport
Woodward Field,CDN,US-SC,small_airport
Chadron Municipal Airport,CDR,US-NE,medium_airport
Childress Municipal Airport,CDS,US-TX,medium_airport
Essex County Airport,CDW,US-NJ,small_airport
Cessna Aircraft Field,CEA,US-KS,small_airport
Jack Mc Namara Field Airport,CEC,US-CA,medium_airport
Westover ARB/Metropolitan Airport,CEF,US-MA,medium_airport
Oconee County Regional Airport,CEU,US-SC,small_airport
Mettel Field,CEV,US-IN,small_airport
Bob Sikes Airport,CEW,US-FL,medium_airport
Kyle Oakley Field,CEY,US-KY,small_airport
Cortez Municipal Airport,CEZ,US-CO,small_airport
Coulter Field,CFD,US-TX,small_airport
Tuscola Area Airport,TZC,US-MI,small_airport
Greenlee County Airport,CFT,US-AZ,small_airport
Coffeyville Municipal Airport,CFV,US-KS,small_airport
Chignik Fisheries Airport,KCG,US-AK,closed
Cambridge Dorchester Airport,CGE,US-MD,small_airport
Cuyahoga County Airport,CGF,US-OH,medium_airport
Cape Girardeau Regional Airport,CGI,US-MO,medium_airport
College Park Airport,CGS,US-MD,small_airport
Chicago Meigs Airport,CGX,US-IL,closed
Casa Grande Municipal Airport,CGZ,US-AZ,small_airport
Lovell Field,CHA,US-TN,large_airport
Chickasha Municipal Airport,CHK,US-OK,small_airport
Charlottesville Albemarle Airport,CHO,US-VA,medium_airport
Charleston Air Force Base-International Airport,CHS,US-SC,large_airport
Chico Municipal Airport,CIC,US-CA,small_airport
The Eastern Iowa Airport,CID,US-IA,large_airport
Arthur N Neu Airport,CIN,US-IA,small_airport
Cairo Regional Airport,CIR,US-IL,small_airport
Chippewa County International Airport,CIU,US-MI,medium_airport
Kegelman AF Aux Field,CKA,US-OK,small_airport
North Central West Virginia Airport,CKB,US-WV,medium_airport
Grand Marais Cook County Airport,GRM,US-MN,small_airport
Fletcher Field,CKM,US-MS,small_airport
Crookston Municipal Kirkwood Field,CKN,US-MN,small_airport
ClarksvilleâMontgomery County Regional Airport,CKV,US-TN,small_airport
Chignik Lagoon Airport,KCL,US-AK,small_airport
Cleveland Hopkins International Airport,CLE,US-OH,large_airport
Clintonville Municipal Airport,CLI,US-WI,small_airport
Clinton Regional Airport,CLK,US-OK,small_airport
Easterwood Field,CLL,US-TX,medium_airport
William R Fairchild International Airport,CLM,US-WA,medium_airport
Cliff Hatfield Memorial Airport,CLR,US-CA,small_airport
Chehalis Centralia Airport,CLS,US-WA,small_airport
Charlotte Douglas International Airport,CLT,US-NC,large_airport
Clearwater Air Park,CLW,US-FL,small_airport
John Glenn Columbus International Airport,CMH,US-OH,large_airport
University of Illinois Willard Airport,CMI,US-IL,medium_airport
Houghton County Memorial Airport,CMX,US-MI,medium_airport
Sparta Fort Mc Coy Airport,CMY,US-WI,small_airport
Chernofski Harbor Seaplane Base,KCN,US-AK,seaplane_base
Claremont Municipal Airport,CNH,US-NH,small_airport
Blosser Municipal Airport,CNK,US-KS,small_airport
Cavern City Air Terminal,CNM,US-NM,medium_airport
Chino Airport,CNO,US-CA,small_airport
Chanute Martin Johnson Airport,CNU,US-KS,medium_airport
TSTC Waco Airport,CNW,US-TX,small_airport
Canyonlands Field,CNY,US-UT,small_airport
Yellowstone Regional Airport,COD,US-WY,medium_airport
Coeur D'Alene - Pappy Boyington Field,COE,US-ID,medium_airport
Patrick Air Force Base,COF,US-FL,medium_airport
Merritt Island Airport,COI,US-FL,small_airport
Coleman Municipal Airport,COM,US-TX,small_airport
Concord Municipal Airport,CON,US-NH,medium_airport
City of Colorado Springs Municipal Airport,COS,US-CO,large_airport
Cotulla-La Salle County Airport,COT,US-TX,small_airport
Columbia Regional Airport,COU,US-MO,medium_airport
Compton Woodley Airport,CPM,US-CA,small_airport
Casper-Natrona County International Airport,CPR,US-WY,medium_airport
St Louis Downtown Airport,CPS,US-IL,small_airport
Cheraw Municipal Airport/Lynch Bellinger Field,HCW,US-SC,small_airport
Colorado Creek Airport,KCR,US-AK,small_airport
Grand Strand Airport,CRE,US-SC,medium_airport
Jacksonville Executive at Craig Airport,CRG,US-FL,medium_airport
Corcoran Airport,CRO,US-CA,small_airport
Corpus Christi International Airport,CRP,US-TX,large_airport
Mc Clellan-Palomar Airport,CLD,US-CA,medium_airport
C David Campbell Field Corsicana Municipal Airport,CRS,US-TX,small_airport
Z M Jack Stell Field,CRT,US-AR,small_airport
Yeager Airport,CRW,US-WV,large_airport
Roscoe Turner Airport,CRX,US-MS,small_airport
Columbus Metropolitan Airport,CSG,US-GA,medium_airport
Clinton Sherman Airport,CSM,US-OK,small_airport
Creston Municipal Airport,CSQ,US-IA,small_airport
Crossville Memorial Whitson Field,CSV,US-TN,medium_airport
Cut Bank International Airport,CTB,US-MT,medium_airport
Cross City Airport,CTY,US-FL,small_airport
Sampson County Airport,CTZ,US-NC,small_airport
Jim Hamilton L.B. Owens Airport,CUB,US-SC,medium_airport
Cushing Municipal Airport,CUH,US-OK,small_airport
Cincinnati Northern Kentucky International Airport,CVG,US-KY,large_airport
Sharp County Regional Airport,CKK,US-AR,small_airport
Clovis Municipal Airport,CVN,US-NM,small_airport
Corvallis Municipal Airport,CVO,US-OR,medium_airport
Cannon Air Force Base,CVS,US-NM,large_airport
Central Wisconsin Airport,CWA,US-WI,medium_airport
Kickapoo Downtown Airport,KIP,US-TX,small_airport
Chennault International Airport,CWF,US-LA,small_airport
Clinton Municipal Airport,CWI,US-IA,small_airport
Calexico International Airport,CXL,US-CA,small_airport
Conroe-North Houston Regional Airport,CXO,US-TX,medium_airport
Carson Airport,CSN,US-NV,small_airport
Capital City Airport,HAR,US-PA,small_airport
Cheyenne Regional Jerry Olson Field,CYS,US-WY,medium_airport
Kochi Airport (é«ç¥ç©ºæ¸¯),KCZ,JP-39,medium_airport
Dimmit County Airport,CZT,US-TX,small_airport
Tioga Municipal Airport,VEX,US-ND,small_airport
Davison Army Air Field,DAA,US-VA,medium_airport
Daytona Beach International Airport,DAB,US-FL,large_airport
Barstow Daggett Airport,DAG,US-CA,medium_airport
Dallas Love Field,DAL,US-TX,large_airport
Danville Regional Airport,DAN,US-VA,medium_airport
James M Cox Dayton International Airport,DAY,US-OH,large_airport
W H 'Bud' Barron Airport,DBN,US-GA,small_airport
Dubuque Regional Airport,DBQ,US-IA,large_airport
Ronald Reagan Washington National Airport,DCA,US-DC,large_airport
Pryor Field Regional Airport,DCU,US-AL,small_airport
Dodge City Regional Airport,DDC,US-KS,medium_airport
Decatur Airport,DEC,US-IL,medium_airport
Decorah Municipal Airport,DEH,US-IA,small_airport
Denver International Airport,DEN,US-CO,large_airport
Coleman A. Young Municipal Airport,DET,US-MI,medium_airport
Defiance Memorial Airport,DFI,US-OH,small_airport
Dallas Fort Worth International Airport,DFW,US-TX,large_airport
Douglas Municipal Airport,DGL,US-AZ,small_airport
Converse County Airport,DGW,US-WY,small_airport
Dothan Regional Airport,DHN,US-AL,medium_airport
Dalhart Municipal Airport,DHT,US-TX,medium_airport
Dickinson Theodore Roosevelt Regional Airport,DIK,US-ND,medium_airport
Chautauqua County-Dunkirk Airport,DKK,US-NY,small_airport
Dillon County Airport,DLL,US-SC,small_airport
DLF Airport,DLF,US-TX,large_airport
Duluth International Airport,DLH,US-MN,large_airport
Dillon Airport,DLN,US-MT,small_airport
Columbia Gorge Regional the Dalles Municipal Airport,DLS,US-OR,medium_airport
Davis Monthan Air Force Base,DMA,US-AZ,medium_airport
Deming Municipal Airport,DMN,US-NM,medium_airport
Sedalia Memorial Airport,DMO,US-MO,small_airport
Daniel Field,DNL,US-GA,medium_airport
Dalton Municipal Airport,DNN,US-GA,small_airport
Denison Municipal Airport,DNS,US-IA,small_airport
Vermilion Regional Airport,DNV,US-IL,small_airport
Dover Air Force Base,DOV,US-DE,large_airport
Kandep Airport,KDP,PG-EPW,small_airport
Dupage Airport,DPA,US-IL,medium_airport
Michael AAF (Dugway Proving Ground) Airport,DPG,US-UT,small_airport
Kamberatoro Airport,KDQ,PG-SAN,small_airport
Desert Rock Airport,DRA,US-NV,medium_airport
Beauregard Regional Airport,DRI,US-LA,medium_airport
Drummond Island Airport,DRE,US-MI,small_airport
Durango La Plata County Airport,DRO,US-CO,small_airport
Del Rio International Airport,DRT,US-TX,medium_airport
Kamaran Downs Airport,KDS,AU-QLD,small_airport
Des Moines International Airport,DSM,US-IA,large_airport
Dansville Municipal Airport,DSV,US-NY,small_airport
Delta Municipal Airport,DTA,US-UT,small_airport
Detroit Lakes Airport - Wething Field,DTL,US-MN,small_airport
Shreveport Downtown Airport,DTN,US-LA,small_airport
Destin Executive Airport,DSI,US-FL,small_airport
Detroit Metropolitan Wayne County Airport,DTW,US-MI,large_airport
Eaker Field,DUA,US-OK,small_airport
Halliburton Field,DUC,US-OK,small_airport
Bisbee Douglas International Airport,DUG,US-AZ,medium_airport
DuBois Regional Airport,DUJ,US-PA,medium_airport
Devils Lake Regional Airport,DVL,US-ND,small_airport
Davenport Municipal Airport,DVN,US-IA,small_airport
Marin County Airport - Gnoss Field,NOT,US-CA,small_airport
Slayton Municipal Airport,NSL,US-MN,small_airport
Phoenix Deer Valley Airport,DVT,US-AZ,small_airport
Victoria Reservoir Seaplane Base,KDW,LK-2,seaplane_base
Wright Field,DWF,US-OH,closed
David Wayne Hooks Memorial Airport,DWH,US-TX,small_airport
Danbury Municipal Airport,DXR,US-CT,small_airport
Doylestown Airport,DYL,US-PA,small_airport
Dyess Air Force Base,DYS,US-TX,large_airport
Polgolla Reservoir Seaplane Base,KDZ,LK-2,seaplane_base
Mulika Lodge Airport,JJM,KE-400,small_airport
Vipingo Estate Airport,VPG,KE-300,small_airport
Kichwa Tembo Airport,KTJ,KE-700,small_airport
Ol Seki Airstrip,OSJ,KE-700,small_airport
Olare Orok Airfield,OLG,KE-700,small_airport
Mara North Conservancy Airstrip,HKR,KE-700,small_airport
Angama Airport,ANA,KE-700,small_airport
Olkiombo Airport,OLX,KE-700,small_airport
Kerio Valley Airport,KRV,KE-700,small_airport
Kiunga Airport,KIU,KE-300,small_airport
Liboi Airport,LBK,KE-500,small_airport
Lake Baringo Airport,LBN,KE-700,small_airport
Lake Rudolf Airport,LKU,KE-700,small_airport
Mumias Airport,MUM,KE-900,small_airport
Roy Hurd Memorial Airport,MIF,US-TX,small_airport
Crane County Airport,CCG,US-TX,small_airport
Ohkay Owingeh Airport,ESO,US-NM,small_airport
Whiteriver Airport,WTR,US-AZ,small_airport
Alpine Casparis Municipal Airport,ALE,US-TX,small_airport
Bagdad Airport,BGT,US-AZ,small_airport
Phifer Airfield,EAN,US-WY,small_airport
Kearney Regional Airport,EAR,US-NE,small_airport
Pangborn Memorial Airport,EAT,US-WA,medium_airport
Chippewa Valley Regional Airport,EAU,US-WI,medium_airport
Nanwalek Airport,KEB,US-AK,small_airport
Webster City Municipal Airport,EBS,US-IA,small_airport
Elizabeth City Regional Airport & Coast Guard Air Station,ECG,US-NC,medium_airport
Northwest Florida Beaches International Airport,ECP,US-FL,medium_airport
Mondell Field,ECS,US-WY,small_airport
Northeastern Regional Airport,EDE,US-NC,small_airport
Enterprise Municipal Airport,ETS,US-AL,small_airport
Edwards Air Force Base,EDW,US-CA,large_airport
Needles Airport,EED,US-CA,medium_airport
Dillant Hopkins Airport,EEN,US-NH,medium_airport
Ellington Airport,EFD,US-TX,medium_airport
Northeast Kingdom International Airport,EFK,US-VT,small_airport
Jefferson Municipal Airport,EFW,US-IA,small_airport
Keglsugl Airport,KEG,PG-CPK,small_airport
Eagle County Regional Airport,EGE,US-CO,medium_airport
Duke Field,EGI,US-FL,medium_airport
Eagle River Union Airport,EGV,US-WI,small_airport
Ekwok Airport,KEK,US-AK,small_airport
Murray Field,EKA,US-CA,medium_airport
Elkhart Municipal Airport,EKI,US-IN,small_airport
Elkins-Randolph Co-Jennings Randolph Field,EKN,US-WV,medium_airport
Elko Regional Airport,EKO,US-NV,medium_airport
Addington Field,EKX,US-KY,small_airport
Eagle Lake Airport,ELA,US-TX,small_airport
South Arkansas Regional At Goodwin Field,ELD,US-AR,medium_airport
Elk City Regional Business Airport,ELK,US-OK,small_airport
Elmira Corning Regional Airport,ELM,US-NY,medium_airport
Bowers Field,ELN,US-WA,small_airport
Ely Municipal Airport,LYU,US-MN,medium_airport
El Paso International Airport,ELP,US-TX,medium_airport
Ely Airport Yelland Field,ELY,US-NV,medium_airport
"Wellsville Municipal Arpt,Tarantine Field",ELZ,US-NY,small_airport
Kemmerer Municipal Airport,EMM,US-WY,small_airport
Emporia Municipal Airport,EMP,US-KS,small_airport
San Gabriel Valley Airport,EMT,US-CA,small_airport
Vance Air Force Base,END,US-OK,large_airport
Centralia Municipal Airport,ENL,US-IL,small_airport
Wendover Airport,ENV,US-UT,medium_airport
Kenosha Regional Airport,ENW,US-WI,medium_airport
Keokuk Municipal Airport,EOK,US-IA,small_airport
Ephrata Municipal Airport,EPH,US-WA,small_airport
Captain Jack Thomas El Dorado Airport,EDK,US-KS,small_airport
Erie International Tom Ridge Field,ERI,US-PA,large_airport
Errol Airport,ERR,US-NH,small_airport
Kerrville Municipal Louis Schreiner Field,ERV,US-TX,small_airport
Delta County Airport,ESC,US-MI,small_airport
Esler Regional Airport,ESF,US-LA,medium_airport
Easton Newnam Field,ESN,US-MD,small_airport
Estherville Municipal Airport,EST,US-IA,small_airport
Easton State Airport,ESW,US-WA,small_airport
West Bend Municipal Airport,ETB,US-WI,small_airport
Eastland Municipal Airport,ETN,US-TX,small_airport
Weedon Field,EUF,US-AL,small_airport
Mahlon Sweet Field,EUG,US-OR,medium_airport
Eveleth Virginia Municipal Airport,EVM,US-MN,small_airport
Evansville Regional Airport,EVV,US-IN,medium_airport
Evanston-Uinta County Airport-Burns Field,EVW,US-WY,medium_airport
New Bedford Regional Airport,EWB,US-MA,medium_airport
Newton City-County Airport,EWK,US-KS,small_airport
Coastal Carolina Regional Airport,EWN,US-NC,medium_airport
Newark Liberty International Airport,EWR,US-NJ,large_airport
Kanabea Airport,KEX,PG-GPK,small_airport
Key West International Airport,EYW,US-FL,medium_airport
Kelani-Peliyagoda Seaplane Base,KEZ,LK-1,seaplane_base
Wilbarger County Airport,WIB,US-TX,small_airport
French Valley Airport,RBK,US-CA,small_airport
Felker Army Air Field,FAF,US-VA,medium_airport
Farmington Regional Airport,FAM,US-MO,small_airport
Hector International Airport,FAR,US-ND,medium_airport
Fresno Yosemite International Airport,FAT,US-CA,medium_airport
Fayetteville Regional Grannis Field,FAY,US-NC,medium_airport
Simmons Army Air Field,FBG,US-NC,medium_airport
Faribault Municipal Airport-Liz Wall Strohfus Field,FBL,US-MN,small_airport
Fort Bridger Airport,FBR,US-WY,small_airport
Fairbury Municipal Airport,FBY,US-NE,small_airport
Fresno Chandler Executive Airport,FCH,US-CA,small_airport
Flying Cloud Airport,FCM,US-MN,small_airport
Butts AAF (Fort Carson) Air Field,FCS,US-CO,medium_airport
Forrest City Municipal Airport,FCY,US-AR,small_airport
Frederick Municipal Airport,FDK,US-MD,small_airport
Frederick Regional Airport,FDR,US-OK,small_airport
Findlay Airport,FDY,US-OH,medium_airport
Albertus Airport,FEP,US-IL,small_airport
Fremont Municipal Airport,FET,US-NE,small_airport
First Flight Airport,FFA,US-NC,small_airport
Fairfield Municipal Airport,FFL,US-IA,small_airport
Fergus Falls Municipal Airport - Einar Mickelson Field,FFM,US-MN,small_airport
Wright-Patterson Air Force Base,FFO,US-OH,large_airport
Capital City Airport,FFT,US-KY,small_airport
Falcon Field,MSC,US-AZ,small_airport
Friday Harbor Airport,FRD,US-WA,small_airport
Sierra Vista Municipal Airport / Libby Army Air Field,FHU,US-AZ,medium_airport
Venango Regional Airport,FKL,US-PA,medium_airport
Franklin Regional Airport,FKN,US-VA,small_airport
Fond du Lac County Airport,FLD,US-WI,small_airport
Flagstaff Pulliam Airport,FLG,US-AZ,medium_airport
Fort Lauderdale Hollywood International Airport,FLL,US-FL,large_airport
Florence Regional Airport,FLO,US-SC,medium_airport
Marion County Regional Airport,FLP,US-AR,small_airport
Flushing Airport,FLU,US-NY,closed
Sherman Army Air Field,FLV,US-KS,small_airport
Fallon Municipal Airport,FLX,US-NV,small_airport
Tipton Airport,FME,US-MD,medium_airport
Cape Cod Coast Guard Air Station,FMH,US-MA,small_airport
Four Corners Regional Airport,FMN,US-NM,medium_airport
Page Field,FMY,US-FL,medium_airport
Northern Colorado Regional Airport,FNL,US-CO,small_airport
Bishop International Airport,FNT,US-MI,medium_airport
Fort Dodge Regional Airport,FOD,US-IA,medium_airport
Topeka Regional Airport - Forbes Field,FOE,US-KS,medium_airport
Francis S Gabreski Airport,FOK,US-NY,small_airport
Fillmore Municipal Airport,FIL,US-UT,small_airport
St Lucie County International Airport,FPR,US-FL,medium_airport
Republic Airport,FRG,US-NY,medium_airport
French Lick Municipal Airport,FRH,US-IN,small_airport
Marshall Army Air Field,FRI,US-KS,medium_airport
Fairmont Municipal Airport,FRM,US-MN,small_airport
Front Royal Warren County Airport,FRR,US-VA,small_airport
Joe Foss Field Airport,FSD,US-SD,medium_airport
Henry Post Army Air Field (Fort Sill),FSI,US-OK,medium_airport
Fort Scott Municipal Airport,FSK,US-KS,small_airport
Fort Smith Regional Airport,FSM,US-AR,large_airport
Fort Stockton Pecos County Airport,FST,US-TX,medium_airport
Fort Sumner Municipal Airport,FSU,US-NM,small_airport
Fort Madison Municipal Airport,FMS,US-IA,small_airport
Godman Army Air Field,FTK,US-KY,medium_airport
Fort Worth Meacham International Airport,FTW,US-TX,large_airport
Fulton County Airport Brown Field,FTY,US-GA,medium_airport
